学校,所在学院,URL
中山大学南方学院，文学与传媒学院，http：//wcy.nfu.edu.cn/a/xueyuangaikuang/zhuanyeshezhi/wangluoyuxinmeitix/
中国传媒大学，新闻系，http://www.cuc.edu.cn/
西安交通大学，http://www.xjtu.edu.cn/index.htm
暨南大学，https://www.jnu.edu.cn/
